VisSim,Modular
Visual Basic,Object-based and Event-driven
Visual Basic .NET,"Multi-paradigm: structured, imperative, object-oriented, declarative, generic, reflective and event-driven"
Visual Basic for Applications,Multi-paradigm programming language
Visual Logic,Structured programming
Visual Logic,Imperative programming
Vvvv,Visual programming language
WebAssembly,Expression-oriented programming language
WebMethods Flow,Graphical programming
WebMethods Flow,Structured programming
WebMethods Flow,Object-oriented programming
Whiley,Imperative programming
Whiley,Functional programming language
Wolfram Language,Programming paradigm
Wolfram Language,Functional programming
Wolfram Language,Procedural programming
Wolfram Language,Array programming
Wolfram Language,Term-rewriting
X10,Object-oriented programming
XBLite,Procedural language
XC,Real-time computing
XC,Parallel programming
XC,Imperative programming
XC,Concurrent programming
XC,Distributed programming
XC,Multi-core processor
XL,Functional programming
XL,Imperative programming
XL,Concept programming
XL,Multi-paradigm programming language
XOTcl,Functional programming
XOTcl,Imperative programming
XOTcl,Event-driven programming
XOTcl,Object-oriented programming
XOTcl,Multi-paradigm programming language
XPath,Query language
XQuery,Functional programming
XQuery,Modular programming
XQuery,Declarative programming
XSB,Logic Programming
XSLT,Declarative programming
XUL,Declarative
Xtend,Functional programming
Xtend,Imperative programming
Xtend,Object-oriented programming
Yoix,Procedural programming
Yoix,Multi-paradigm
Yoix,Object-oriented programming
ZPL,Array programming
